days,2025_VNINDEX,2024_VNINDEX,2023_VNINDEX,2025_DXY,2024_DXY,2023_DXY,2025_CL=F,2024_CL=F,2023_CL=F,2025_XAU_USD,2024_XAU_USD,2023_XAU_USD,2025_BTC_USD,2024_BTC_USD,2023_BTC_USD,2025_^DJI,2024_^DJI,2023_^DJI
02-Feb,-0.012817166,0.035813739,0.032793737,-0.000141033,0.015444974,-0.02717615,0.0345762,0.034356342,-0.042735284,0.064552102,-0.011706226,0.05147898,0.042557091,-0.010922358,0.355069579,0.047359855,0.024909316,0.028128962
03-Feb,-0.012817166,0.047335643,0.032385473,-0.000141033,0.025154655,-0.017458714,0.0345762,0.018661529,-0.05406492,0.070622568,-0.011511977,0.028520644,0.080600742,-0.015405524,0.354108905,0.047359855,0.017813083,0.024372284
04-Feb,-0.003519684,0.047335643,0.043655969,0.001517956,0.025154655,-0.005870771,0.010432675,0.018661529,-0.089496886,0.080385092,-0.011739345,0.026174529,0.046024111,-0.024911143,0.349099182,0.050379286,0.017813083,0.023340857
05-Feb,0.000378482,0.047335643,0.043655969,-0.004646915,0.025154655,-0.005870771,0.016099623,0.018661529,-0.089496886,0.090872404,-0.019263926,0.025521814,0.032951029,-0.023147883,0.332976085,0.057499357,0.017813083,0.023340857
06-Feb,0.001851371,0.049375946,0.043655969,-0.008257686,0.029482038,-0.005870771,-0.00561563,0.018799016,-0.089496886,0.08908401,-0.014272899,0.026286827,0.03268169,-0.013161545,0.324457201,0.054699198,0.021493068,0.023340857
07-Feb,0.004777072,0.057832167,0.022128118,-0.007514384,0.026705315,-0.000725651,-0.01432598,0.028969409,-0.071198426,0.088293797,-0.013600647,0.029138188,0.032016934,0.015469306,0.346609188,0.044771734,0.025542769,0.031179862
08-Feb,-0.004586119,0.061144533,0.028114012,-0.003800349,0.025553105,-0.00333338,-0.008090118,0.036860591,-0.032040612,0.087908575,-0.014858361,0.029247175,0.031533838,0.037657554,0.332643898,0.048541461,0.026808852,0.025099657
09-Feb,-0.004586119,0.061144533,0.020475709,-0.003800349,0.026610498,-0.001784008,-0.008090118,0.068448013,-0.019651928,0.089735909,-0.01893898,0.023192574,0.031891821,0.078398592,0.283803935,0.048541461,0.025398011,0.017761216
10-Feb,-0.004586119,0.061144533,0.012271071,-0.003800349,0.026034374,-0.003427614,-0.008090118,0.070803422,-0.029467054,0.107021624,-0.01911264,0.021986417,0.041573163,0.091635393,0.276110861,0.048541461,0.028648127,0.022787663
11-Feb,-0.000477748,0.061144533,0.001278844,-0.001580202,0.026034374,-0.000328644,0.012895767,0.070803422,-0.000373309,0.100235679,-0.018235326,0.01963045,0.024087766,0.102575872,0.286257715,0.051312703,0.028648127,0.033908663
12-Feb,-0.001691763,0.061144533,0.001278844,-0.004626115,0.026034374,-0.000328644,0.022690209,0.070803422,-0.000373309,0.10179674,-0.022017116,0.021321844,0.046421835,0.137037865,0.282477717,0.046265127,0.028648127,0.033908663
13-Feb,0.001023459,0.061144533,0.001278844,-0.005459408,0.026995158,-0.000328644,-0.004085735,0.076417003,-0.000373309,0.112115188,-0.035032595,0.015755775,0.032851422,0.132718631,0.283390984,0.053992921,0.01512585,0.033908663
14-Feb,0.005534012,0.061144533,-0.003569232,-0.012872264,0.033330309,-0.003804224,-0.000155376,0.086542912,-0.011381626,0.096339936,-0.034591851,0.017624451,0.041871629,0.174619548,0.302315287,0.050294727,0.01908479,0.0293341
15-Feb,0.002900959,0.061144533,0.005635051,-0.01567289,0.031613477,-0.003901125,-0.011620697,0.070992223,-0.014290755,0.096567605,-0.029129523,0.013597464,0.043421404,0.176777883,0.396237948,0.050525089,0.028163728,0.030471738
16-Feb,0.002900959,0.067132019,0.015261161,-0.01567289,0.028173762,0.002590476,-0.011620697,0.090705045,-0.017969569,0.095606348,-0.024938351,0.00908301,0.029300862,0.181045396,0.368083775,0.050525089,0.024420599,0.017836993
17-Feb,0.002900959,0.079755,0.016224999,-0.01567289,0.028365484,0.005670951,-0.011620697,0.101843219,-0.023953796,0.100965624,-0.024727711,0.011907278,0.024781868,0.17151309,0.407964739,0.050525089,0.022758915,0.021690167
18-Feb,0.00715959,0.079755,0.0420719,-0.01567289,0.028365484,0.002887906,-0.011620697,0.101843219,-0.043679695,0.111791969,-0.02498853,0.014096401,0.021791778,0.180408253,0.411045298,0.050525089,0.022758915,0.001082135
19-Feb,0.015312096,0.079755,0.0420719,-0.013706975,0.028365484,0.002887906,0.003655143,0.101843219,-0.043679695,0.112335155,-0.023957298,0.011574886,0.033858868,0.173819888,0.398317274,0.052124188,0.022758915,0.001082135
20-Feb,0.01874222,0.083910276,0.0420719,-0.012866052,0.028365484,0.002887906,0.009227747,0.101843219,-0.043679695,0.115706411,-0.019326414,0.013059917,0.051533967,0.183586957,0.418931925,0.042019645,0.022758915,0.001082135
21-Feb,0.021657981,0.083894,0.03796773,-0.0190274,0.025681447,0.002887906,0.01476947,0.078672773,-0.043679695,0.115194827,-0.01903273,0.012179802,0.02924617,0.175062593,0.403112014,0.025073386,0.024014951,0.001082135
22-Feb,0.027680775,0.081674576,0.012141471,-0.017336622,0.024431954,0.005005061,-0.023533075,0.090856763,-0.049167715,0.115019919,-0.019041717,0.00753537,0.033706782,0.16475751,0.392983262,0.025837672,0.035847238,-0.001468455
23-Feb,0.027680775,0.069200093,0.011553397,-0.017336622,0.024816838,0.008558338,-0.023533075,0.094442452,-0.07794189,0.114341438,-0.014486023,0.005458869,0.030836928,0.153588545,0.383005457,0.025837672,0.037444968,0.00182463
